Type: PE
Buffering...
Parsing executable...
$ Libraries Count: 14
Functions Count: 1333
606048 : GDI32.dll.DeleteDC
606050 : GDI32.dll.SelectObject
606058 : GDI32.dll.GdiFlush
606060 : GDI32.dll.CreateDIBSection
606068 : GDI32.dll.CreateCompatibleDC
606070 : GDI32.dll.GetDIBits
606078 : GDI32.dll.CreateBitmap
606080 : GDI32.dll.BitBlt
606088 : GDI32.dll.CreateCompatibleBitmap
606090 : GDI32.dll.GetRegionData
606098 : GDI32.dll.CreateRectRgn
6060a0 : GDI32.dll.CreateEllipticRgn
6060a8 : GDI32.dll.GetNearestPaletteIndex
6060b0 : GDI32.dll.GetPaletteEntries
6060b8 : GDI32.dll.CreatePalette
6060c0 : GDI32.dll.ResetDCW
6060c8 : GDI32.dll.ExtTextOutW
6060d0 : GDI32.dll.SetWorldTransform
6060d8 : GDI32.dll.SetGraphicsMode
6060e0 : GDI32.dll.SetBkMode
6060e8 : GDI32.dll.SetTextAlign
6060f0 : GDI32.dll.EndDoc
6060f8 : GDI32.dll.EndPage
606100 : GDI32.dll.AbortDoc
606108 : GDI32.dll.StartPage
606110 : GDI32.dll.GetBkMode
606118 : GDI32.dll.SetTextColor
606120 : GDI32.dll.CreatePen
606128 : GDI32.dll.GetDeviceCaps
606130 : GDI32.dll.GetTextFaceW
606138 : GDI32.dll.RestoreDC
606140 : GDI32.dll.StretchBlt
606148 : GDI32.dll.SaveDC
606150 : GDI32.dll.CreateDCW
606158 : GDI32.dll.SetPolyFillMode
606160 : GDI32.dll.EndPath
606168 : GDI32.dll.MoveToEx
606170 : GDI32.dll.CloseFigure
606178 : GDI32.dll.LineTo
606180 : GDI32.dll.PolyBezierTo
606188 : GDI32.dll.BeginPath
606190 : GDI32.dll.FillPath
606198 : GDI32.dll.StrokePath
6061a0 : GDI32.dll.ExtCreatePen
6061a8 : GDI32.dll.StartDocW
6061b0 : GDI32.dll.SelectClipPath
6061b8 : GDI32.dll.SelectClipRgn
6061c0 : GDI32.dll.GetFontData
6061c8 : GDI32.dll.CreateFontIndirectW
6061d0 : GDI32.dll.GetTextMetricsW
6061d8 : GDI32.dll.EnumFontFamiliesExW
6061e0 : GDI32.dll.GetOutlineTextMetricsW
6061e8 : GDI32.dll.GetGlyphOutlineW
6061f0 : GDI32.dll.GetTextExtentPoint32W
6061f8 : GDI32.dll.GetCharABCWidthsFloatW
606200 : GDI32.dll.GetCharABCWidthsI
606208 : GDI32.dll.GetCharABCWidthsW
606210 : GDI32.dll.CombineRgn
606218 : GDI32.dll.OffsetRgn
