Type: PE
Buffering...
Parsing executable...
$ Lib Name: KERNEL32.dll
Entries:  829
10e51 : AddAtomA
a971 : AddAtomW
38c58 : AddConsoleAliasA
38c21 : AddConsoleAliasW
39e4e : AllocConsole
1e930 : AllocateUserPhysicalPages
1ed1b : AreFileApisANSI
38374 : AssignProcessToJobObject
c706 : BackupRead
c949 : BackupSeek
d2ac : BackupWrite
b730 : BaseAttachCompleteThunk
d4d1 : Beep
34cea : BeginUpdateResourceA
34ad3 : BeginUpdateResourceW
2c5c1 : BindIoCompletionCallback
37405 : BuildCommDCBA
3738f : BuildCommDCBAndTimeoutsA
3733c : BuildCommDCBAndTimeoutsW
373b5 : BuildCommDCBW
224ff : CallNamedPipeA
2256b : CallNamedPipeW
2476c : CancelDeviceWakeupRequest
16c2a : CancelIo
2c824 : CancelTimerQueueTimer
2a310 : CancelWaitableTimer
2c6df : ChangeTimerQueueTimer
2e2a6 : ClearCommBreak
2e2b4 : ClearCommError
3a688 : CloseConsoleHandle
7e4d : CloseHandle
b1a8 : CloseProfileUserMapping
2fe2f : CmdBatNotification
2de4a : CommConfigDialogA
2dd6e : CommConfigDialogW
f07e : CompareFileTime
3e022 : CompareStringA
97e2 : CompareStringW
21da2 : ConnectNamedPipe
3a97a : ConsoleMenuControl
fca4 : ContinueDebugEvent
40c77 : ConvertDefaultLocale
2c3a9 : ConvertThreadToFiber
18f29 : CopyFileA
18f9d : CopyFileExA
19c92 : CopyFileExW
18f7e : CopyFileW
3bec0 : CreateConsoleScreenBuffer
ff11 : CreateDirectoryA
1006f : CreateDirectoryExA
100b8 : CreateDirectoryExW
ff2d : CreateDirectoryW
2974a : CreateEventA
297b5 : CreateEventW
2c298 : CreateFiber
2c2b0 : CreateFiberEx
1c10f : CreateFileA
16dd6 : CreateFileMappingA
16e47 : CreateFileMappingW
1c141 : CreateFileW
38571 : CreateHardLinkA
385c4 : CreateHardLinkW
15242 : CreateIoCompletionPort
381cb : CreateJobObjectA
38230 : CreateJobObjectW
1f955 : CreateMailslotA
1f835 : CreateMailslotW
29bdf : CreateMutexA
29c47 : CreateMutexW
21a71 : CreateNamedPipeA
21ae1 : CreateNamedPipeW
244b3 : CreatePipe
24e52 : CreateProcessA
24af8 : CreateProcessInternalA
24ec5 : CreateProcessInternalW
24ec4 : CreateProcessInternalWSecure
26793 : CreateProcessW
b3d8 : CreateRemoteThread
29995 : CreateSemaphoreA
29a00 : CreateSemaphoreW
380bf : CreateTapePartition
2b668 : CreateThread
2c66a : CreateTimerQueue
2c68b : CreateTimerQueueTimer
2c85f : CreateToolhelp32Snapshot
1fc63 : CreateVirtualBuffer
2a117 : CreateWaitableTimerA
2a17f : CreateWaitableTimerW
fcd6 : DebugActiveProcess
f5d6 : DebugBreak
14b8f : DefineDosDeviceA
14c2f : DefineDosDeviceW
516bf : DelayLoadFailureHook
10e71 : DeleteAtom
565da : DeleteCriticalSection : NTDLL.RtlDeleteCriticalSection
2c35c : DeleteFiber
174df : DeleteFileA
174f7 : DeleteFileW
2c800 : DeleteTimerQueue
2c76b : DeleteTimerQueueEx
2c720 : DeleteTimerQueueTimer
34276 : DeleteVolumeMountPointA
34432 : DeleteVolumeMountPointW
93cf : DeviceIoControl
20723 : DisableThreadLibraryCalls
21e32 : DisconnectNamedPipe
e467 : DnsHostnameToComputerNameA
e3cf : DnsHostnameToComputerNameW
eff4 : DosDateTimeToFileTime
283d4 : DosPathToSessionPathA
2854f : DosPathToSessionPathW
3a6df : DuplicateConsoleHandle
b1d5 : DuplicateHandle
3505d : EndUpdateResourceA
34ef4 : EndUpdateResourceW
5679f : EnterCriticalSection : NTDLL.RtlEnterCriticalSection
3ef62 : EnumCalendarInfoA
3ef7e : EnumCalendarInfoExA
43d6f : EnumCalendarInfoExW
43d53 : EnumCalendarInfoW
3efb0 : EnumDateFormatsA
3efc8 : EnumDateFormatsExA
43db9 : EnumDateFormatsExW
43da1 : EnumDateFormatsW
3f1f5 : EnumLanguageGroupLocalesA
43cff : EnumLanguageGroupLocalesW
2147d : EnumResourceLanguagesA
218ad : EnumResourceLanguagesW
2125c : EnumResourceNamesA
7ee6 : EnumResourceNamesW
2106a : EnumResourceTypesA
216b9 : EnumResourceTypesW
3f237 : EnumSystemCodePagesA
43d41 : EnumSystemCodePagesW
3f1df : EnumSystemLanguageGroupsA
43ce9 : EnumSystemLanguageGroupsW
3f225 : EnumSystemLocalesA
43d2f : EnumSystemLocalesW
3ef9a : EnumTimeFormatsA
43d8b : EnumTimeFormatsW
3f20f : EnumUILanguagesA
43d19 : EnumUILanguagesW
38093 : EraseTape
2e4ad : EscapeCommFunction
2681c : ExitProcess
2b847 : ExitThread
2fb6a : ExitVDM
2717a : ExpandEnvironmentStringsA
272d1 : ExpandEnvironmentStringsW
39253 : ExpungeConsoleCommandHistoryA
39245 : ExpungeConsoleCommandHistoryW
1fd07 : ExtendVirtualBuffer
27904 : FatalAppExitA
278bd : FatalAppExitW
2794b : FatalExit
ef60 : FileTimeToDosDateTime
eefd : FileTimeToLocalFileTime
ee08 : FileTimeToSystemTime
3bea3 : FillConsoleOutputAttribute
3be66 : FillConsoleOutputCharacterA
3be86 : FillConsoleOutputCharacterW
10e61 : FindAtomA
10e97 : FindAtomW
157be : FindClose
333c4 : FindCloseChangeNotification
15da0 : FindFirstChangeNotificationA
15e00 : FindFirstChangeNotificationW
1543e : FindFirstFileA
158ad : FindFirstFileExA
15987 : FindFirstFileExW
15515 : FindFirstFileW
3262e : FindFirstVolumeA
32c44 : FindFirstVolumeMountPointA
33058 : FindFirstVolumeMountPointW
3273c : FindFirstVolumeW
15eea : FindNextChangeNotification
1552b : FindNextFileA
155d5 : FindNextFileW
3287a : FindNextVolumeA
3315e : FindNextVolumeMountPointA
