Type: PE
Buffering...
Parsing executable...
$ Libraries Count: 1
Functions Count: 331
1000 : ntdll.dll.NtResetWriteWatch
1004 : ntdll.dll.RtlAllocateHeap
1008 : ntdll.dll.NtFsControlFile
100c : ntdll.dll.NtOpenFile
1010 : ntdll.dll.NtQueryInformationFile
1014 : ntdll.dll.NtQueryEaFile
1018 : ntdll.dll.RtlLengthSecurityDescriptor
101c : ntdll.dll.NtQuerySecurityObject
1020 : ntdll.dll._wcsnicmp
1024 : ntdll.dll.NtCreateFile
1028 : ntdll.dll.NtSetEaFile
102c : ntdll.dll.NtSetSecurityObject
1030 : ntdll.dll.NtSetInformationFile
1034 : ntdll.dll.NtClose
1038 : ntdll.dll.NtDeviceIoControlFile
103c : ntdll.dll.RtlInitUnicodeString
1040 : ntdll.dll.CsrClientCallServer
1044 : ntdll.dll.wcslen
1048 : ntdll.dll.NtQueryValueKey
104c : ntdll.dll.NtOpenKey
1050 : ntdll.dll.NtSetValueKey
1054 : ntdll.dll.NtCreateKey
1058 : ntdll.dll.NtFlushKey
105c : ntdll.dll.wcscspn
1060 : ntdll.dll.RtlUnicodeToMultiByteSize
1064 : ntdll.dll.RtlGetNtProductType
1068 : ntdll.dll.RtlFreeUnicodeString
106c : ntdll.dll.RtlDnsHostNameToComputerName
1070 : ntdll.dll.RtlUnicodeStringToAnsiString
1074 : ntdll.dll.RtlxUnicodeStringToAnsiSize
1078 : ntdll.dll.NlsMbCodePageTag
107c : ntdll.dll.RtlAnsiStringToUnicodeString
1080 : ntdll.dll.RtlInitAnsiString
1084 : ntdll.dll.RtlCreateUnicodeStringFromAsciiz
1088 : ntdll.dll.RtlNtStatusToDosError
108c : ntdll.dll.wcschr
1090 : ntdll.dll.wcsstr
1094 : ntdll.dll.RtlPrefixString
1098 : ntdll.dll.RtlReleasePebLock
109c : ntdll.dll.RtlEqualUnicodeString
10a0 : ntdll.dll.RtlAcquirePebLock
10a4 : ntdll.dll.RtlFreeAnsiString
10a8 : ntdll.dll.memmove
10ac : ntdll.dll.RtlGetFullPathName_U
10b0 : ntdll.dll.RtlGetCurrentDirectory_U
10b4 : ntdll.dll.RtlSetCurrentDirectory_U
10b8 : ntdll.dll.NtQueryInformationProcess
10bc : ntdll.dll.RtlTimeToTimeFields
10c0 : ntdll.dll.NtSetSystemTime
10c4 : ntdll.dll.RtlTimeFieldsToTime
10c8 : ntdll.dll.NtQuerySystemInformation
10cc : ntdll.dll.RtlSetTimeZoneInformation
10d0 : ntdll.dll.NtSetSystemInformation
10d4 : ntdll.dll.RtlCutoverTimeToSystemTime
10d8 : ntdll.dll._allmul
10dc : ntdll.dll.DbgBreakPoint
10e0 : ntdll.dll.RtlFreeSid
10e4 : ntdll.dll.RtlSetDaclSecurityDescriptor
10e8 : ntdll.dll.RtlCreateSecurityDescriptor
10ec : ntdll.dll.RtlAddAccessAllowedAce
10f0 : ntdll.dll.RtlCreateAcl
10f4 : ntdll.dll.RtlLengthSid
10f8 : ntdll.dll.RtlAllocateAndInitializeSid
10fc : ntdll.dll.DbgPrint
1100 : ntdll.dll.NtOpenThread
1104 : ntdll.dll.NtQueryInformationThread
1108 : ntdll.dll.DbgUiWaitStateChange
110c : ntdll.dll.DbgUiContinue
1110 : ntdll.dll.DbgUiConnectToDbg
1114 : ntdll.dll.NtRaiseHardError
1118 : ntdll.dll.NtContinue
111c : ntdll.dll.RtlIsDosDeviceName_U
1120 : ntdll.dll.RtlDosPathNameToNtPathName_U
1124 : ntdll.dll.RtlCreateAtomTable
1128 : ntdll.dll.NtAddAtom
112c : ntdll.dll.RtlAddAtomToAtomTable
1130 : ntdll.dll.NtFindAtom
1134 : ntdll.dll.RtlLookupAtomInAtomTable
1138 : ntdll.dll.NtDeleteAtom
113c : ntdll.dll.RtlDeleteAtomFromAtomTable
1140 : ntdll.dll.NtQueryInformationAtom
1144 : ntdll.dll.RtlQueryAtomInAtomTable
1148 : ntdll.dll.RtlCharToInteger
114c : ntdll.dll.strncpy
1150 : ntdll.dll.wcsncpy
1154 : ntdll.dll.RtlCreateUnicodeString
1158 : ntdll.dll.RtlFormatCurrentUserKeyPath
115c : ntdll.dll.CsrFreeCaptureBuffer
1160 : ntdll.dll.CsrCaptureMessageString
1164 : ntdll.dll.CsrAllocateCaptureBuffer
1168 : ntdll.dll.RtlGetLongestNtPathLength
116c : ntdll.dll.RtlMultiByteToUnicodeN
1170 : ntdll.dll.RtlUnicodeToMultiByteN
1174 : ntdll.dll.RtlMultiByteToUnicodeSize
1178 : ntdll.dll.RtlPrefixUnicodeString
117c : ntdll.dll.RtlLeaveCriticalSection
1180 : ntdll.dll.RtlEnterCriticalSection
1184 : ntdll.dll.NtQueryKey
1188 : ntdll.dll.RtlAppendUnicodeStringToString
118c : ntdll.dll.RtlAppendUnicodeToString
1190 : ntdll.dll.NtEnumerateKey
1194 : ntdll.dll.NtEnumerateValueKey
1198 : ntdll.dll.NtDeleteValueKey
119c : ntdll.dll.RtlIsTextUnicode
11a0 : ntdll.dll.NtReadFile
11a4 : ntdll.dll.NtAllocateVirtualMemory
11a8 : ntdll.dll.NtUnlockFile
11ac : ntdll.dll.NtLockFile
11b0 : ntdll.dll.RtlCopyUnicodeString
11b4 : ntdll.dll.NtFreeVirtualMemory
